,lastname,game_clock,quarter,is_pass,description,frame_num,dist_to_ball,ball_handler
1,ball,11:55.2,1,TRUE,,120,0,Williams
2,ball,11:53.1,1,TRUE,,171,0,Bryant
3,ball,11:51.7,1,TRUE,,205,0,Nance Jr.
4,ball,11:49.6,1,TRUE,,258,0,Clarkson
5,ball,11:38.3,1,FALSE,Shot,537,0,Nance Jr.
6,ball,11:36.2,1,TRUE,,590,0,Jordan
7,ball,11:26.4,1,TRUE,,833,0,Paul
8,ball,11:17.2,1,TRUE,Inbound,1061,0,Nance Jr.
9,ball,11:11.0,1,TRUE,,1214,0,Williams
10,ball,11:06.9,1,TRUE,,1316,0,Clarkson
11,ball,11:05.5,1,FALSE,Shot,1349,0,Hibbert
12,ball,11:04.0,1,TRUE,Inbound,1386,0,Griffin
13,ball,10:49.5,1,TRUE,,1747,0,Paul
14,ball,10:48.1,1,FALSE,Shot,1780,0,Redick
15,ball,10:45.1,1,TRUE,,1855,0,Nance Jr.
16,ball,10:37.4,1,TRUE,,2045,0,Bryant
17,ball,10:35.2,1,TRUE,Bad pass,2100,0,Nance Jr.
18,ball,10:34.2,1,,Deflection,2124,0,Mbah a Moute
19,ball,10:32.5,1,TRUE,,2166,0,Paul
20,ball,10:32.1,1,FALSE,Attempted Steal,2177,0,Clarkson
21,ball,10:28.9,1,TRUE,Followed by unrecorded Griffin pass interrupted by Nance kickball,2257,0,Redick
22,ball,10:14.5,1,TRUE,Missed inbounds from Redick and Nance,2620,0,Clarkson
23,ball,10:08.7,1,TRUE,,2765,0,Nance Jr.
24,ball,10:04.0,1,TRUE,Bad pass,2883,0,Bryant
25,ball,10:03.6,1,FALSE,Traffic,2892,0,Mbah a Moute
26,ball,10:01.9,1,TRUE,,2935,0,Paul
27,ball,09:57.3,1,FALSE,Traffic,3051,0,Hibbert
28,ball,09:55.0,1,TRUE,Inbound,3107,0,Nance Jr.
29,ball,09:51.0,1,TRUE,,3207,0,Williams
30,ball,09:49.9,1,FALSE,,3235,0,Jordan
31,ball,09:46.9,1,TRUE,Inbound,3311,0,Griffin
32,ball,09:38.1,1,FALSE,Shot,3530,0,Paul
33,ball,09:30.7,1,TRUE,Inbound,3716,0,Hibbert
34,ball,09:19.0,1,TRUE,,4008,0,Williams
35,ball,09:16.6,1,TRUE,Belongs to Kobe,4069,0,Mbah a Moute
36,ball,09:13.2,1,TRUE,,4155,0,Hibbert
37,ball,09:12.4,1,FALSE,Traffic,4174,0,Mbah a Moute
38,ball,09:11.3,1,TRUE,,4201,0,Bryant
39,ball,09:11.2,1,FALSE,Traffic,4205,0,Jordan
40,ball,09:09.7,1,FALSE,Shot,4242,0,Hibbert
41,ball,09:08.4,1,TRUE,Inbound,4273,0,Griffin
42,ball,08:56.4,1,TRUE,,4575,0,Paul
43,ball,08:52.5,1,TRUE,,4672,0,Redick
44,ball,08:51.5,1,TRUE,,4696,0,Griffin
45,ball,08:47.9,1,FALSE,Handed to Hibbert for inbound,4786,0,Clarkson
46,ball,08:46.1,1,TRUE,Inbound,4833,0,Hibbert
47,ball,08:38.6,1,TRUE,,5020,0,Clarkson
48,ball,08:37.4,1,FALSE,Shot,5049,0,Hibbert
49,ball,08:34.8,1,TRUE,Inbound,5115,0,Griffin
50,ball,08:25.1,1,TRUE,,5358,0,Paul
51,ball,08:24.1,1,FALSE,Shot,5382,0,Redick
52,ball,08:19.2,1,TRUE,Inbound,5504,0,Nance Jr.
53,ball,08:10.7,1,TRUE,Bad pass,5717,0,Clarkson
54,ball,08:10.0,1,FALSE,Traffic,5734,0,Hibbert
55,ball,08:06.0,1,TRUE,,5835,0,Redick
56,ball,07:59.6,1,TRUE,Belongs to Paul,5995,0,Clarkson
57,ball,07:58.3,1,TRUE,Belongs to Griffin,6027,0,Bryant
58,ball,07:57.4,1,TRUE,,6050,0,Mbah a Moute
59,ball,07:50.0,1,FALSE,Traffic - Missed inbound by Nance,6235,0,Jordan
60,ball,07:45.3,1,TRUE,,6354,0,Clarkson
61,ball,07:42.1,1,TRUE,,6434,0,Bryant
62,ball,07:40.6,1,TRUE,,6471,0,Williams
63,ball,07:40.1,1,TRUE,,6484,0,Nance Jr.
64,ball,07:28.1,1,TRUE,,6769,0,Paul
65,ball,07:26.3,1,FALSE,Shot,6814,0,Redick
66,ball,07:24.7,1,TRUE,Inbound,6854,0,Nance Jr.
67,ball,07:17.0,1,TRUE,,7048,0,Clarkson
68,ball,07:08.6,1,TRUE,,7260,0,Jordan
69,ball,06:59.4,1,TRUE,,7492,0,Paul
70,ball,06:58.1,1,TRUE,,7523,0,Griffin
71,ball,06:53.2,1,FALSE,Shot,7646,0,Paul
72,ball,06:50.6,1,TRUE,Inbound,7712,0,Nance Jr.
73,ball,06:35.5,1,TRUE,,8092,0,Williams
74,ball,06:33.2,1,TRUE,Missed pass from Hibbert,8150,0,Nance Jr.
75,ball,06:32.9,1,FALSE,,8158,0,Griffin
76,ball,06:24.2,1,TRUE,Missed pass from Griffin,8377,0,Paul
77,ball,06:19.5,1,FALSE,Shot,8495,0,Redick
78,ball,06:11.4,1,TRUE,,8685,0,Clarkson
79,ball,06:06.0,1,FALSE,Shot,8821,0,Williams
80,ball,05:55.8,1,TRUE,Inbound,9078,0,Griffin
81,ball,05:44.6,1,TRUE,,9361,0,Paul
82,ball,05:33.8,1,TRUE,,9683,0,Bryant
83,ball,05:33.7,1,FALSE,Traffic,9691,0,Jordan
84,ball,05:33.4,1,FALSE,Deflection,9707,0,Hibbert
85,ball,05:33.0,1,FALSE,Traffic,9723,0,Jordan
86,ball,05:27.1,1,FALSE,Reach-in,10025,0,Nance Jr.
87,ball,05:25.5,1,FALSE,Reach-in,10101,0,Griffin
88,ball,05:23.0,1,TRUE,,10163,0,Paul
89,ball,05:09.1,1,TRUE,,10518,0,Russell
90,ball,05:05.4,1,TRUE,,10610,0,Williams
91,ball,05:04.3,1,TRUE,,10636,0,Randle
92,ball,05:02.1,1,FALSE,Shot,10691,0,Russell
93,ball,04:52.4,1,TRUE,,10931,0,Paul
94,ball,04:49.6,1,TRUE,Handoff,11001,0,Griffin
95,ball,04:48.6,1,TRUE,,11026,0,Redick
96,ball,04:45.4,1,FALSE,Made shot,11104,0,Jordan
97,ball,04:42.6,1,TRUE,Inbound,11173,0,Hibbert
98,ball,04:35.0,1,TRUE,,11362,0,Russell
99,ball,04:32.2,1,TRUE,,11431,0,Hibbert
100,ball,04:30.6,1,FALSE,Shot,11470,0,Randle
101,ball,04:27.9,1,TRUE,,11537,0,Jordan
102,ball,04:20.2,1,TRUE,,11729,0,Paul
103,ball,04:15.2,1,TRUE,Bad pass,11853,0,Griffin
104,ball,04:14.4,1,TRUE,,11871,0,Hibbert
105,ball,04:11.2,1,TRUE,,11950,0,Russell
106,ball,04:09.6,1,FALSE,Shot,11989,0,Bryant
107,ball,04:01.7,1,TRUE,Bad pass,12186,0,Griffin
108,ball,04:00.1,1,FALSE,Received bad pass out of bounds,12225,0,Redick
109,ball,03:55.1,1,TRUE,,12360,0,Russell
110,ball,03:53.2,1,TRUE,,12408,0,Williams
111,ball,03:47.6,1,TRUE,Belongs to Kobe,12547,0,Mbah a Moute
112,ball,03:45.4,1,FALSE,Shot,12603,0,Hibbert
113,ball,03:43.2,1,TRUE,,12658,0,Jordan
114,ball,03:30.5,1,TRUE,,12977,0,Randle
115,ball,03:29.2,1,FALSE,Traffic,13011,0,Russell
116,ball,03:15.7,1,FALSE,Shot,13350,0,Russell
117,ball,03:12.0,1,TRUE,,13442,0,Griffin
118,ball,03:08.9,1,FALSE,Traffic,13521,0,Griffin
119,ball,02:46.3,1,FALSE,Shot - Missed inbound by Randle,14087,0,Russell
120,ball,02:35.3,1,TRUE,Missed inbounds by Russell and Jordan,14365,0,Randle
121,ball,02:30.1,1,TRUE,,14496,0,Russell
122,ball,02:27.6,1,TRUE,,14557,0,Bryant
123,ball,02:25.4,1,TRUE,Belongs to Randle,14612,0,Griffin
124,ball,02:24.6,1,TRUE,,14634,0,Hibbert
125,ball,02:20.6,1,TRUE,,14733,0,Williams
126,ball,02:19.3,1,FALSE,Shot,14767,0,Russell
127,ball,02:17.8,1,TRUE,Inbound,14804,0,Crawford
128,ball,02:14.4,1,TRUE,,14889,0,Griffin
129,ball,02:11.0,1,FALSE,Whistle,14974,0,Paul
130,ball,02:09.2,1,,,15004,0,Prigioni
131,ball,02:08.0,1,TRUE,,15062,0,Aldrich
132,ball,02:07.7,1,FALSE,Traffic,15074,0,Bass
133,ball,02:05.6,1,FALSE,Shot,15180,0,Griffin
134,ball,02:04.7,1,FALSE,Traffic,15224,0,Randle
135,ball,02:03.7,1,TRUE,,15274,0,Griffin
136,ball,02:01.7,1,FALSE,Deflection - Missed inbound,15370,0,Randle
137,ball,01:55.8,1,FALSE,,15662,0,Randle
138,ball,01:55.0,1,TRUE,Inbound,15704,0,Russell
139,ball,01:51.2,1,TRUE,,15855,0,Williams
140,ball,01:47.9,1,TRUE,,15936,0,Russell
141,ball,01:44.8,1,FALSE,Shot - Missed inbound by Randle,16014,0,Williams
142,ball,01:40.4,1,TRUE,Missed inbound,16108,0,Prigioni
143,ball,01:36.6,1,TRUE,,16204,0,Aldrich
144,ball,01:32.6,1,FALSE,Pump fake,16304,0,Crawford
145,ball,01:31.2,1,FALSE,Traffic,16339,0,Russell
146,ball,01:24.2,1,TRUE,Missed inbound by Randle,16514,0,Russell
147,ball,01:23.7,1,FALSE,Traffic,16527,0,Russell
148,ball,01:21.3,1,TRUE,,16587,0,Williams
149,ball,01:16.6,1,TRUE,,16704,0,Russell
150,ball,01:09.4,1,TRUE,Bad pass,16884,0,Crawford
151,ball,01:04.1,1,TRUE,Double-dribble,17016,0,Russell
152,ball,01:00.2,1,TRUE,,17118,0,Prigioni
153,ball,00:51.7,1,FALSE,Shot,17342,0,Prigioni
154,ball,00:44.3,1,TRUE,Missed inbound by Randle,17530,0,Russell
155,ball,00:42.4,1,TRUE,,17577,0,Young
156,ball,00:39.8,1,FALSE,Walk,17642,0,Randle
157,ball,00:35.8,1,TRUE,,17745,0,Prigioni
158,ball,00:29.8,1,TRUE,,17891,0,Young
159,ball,00:17.1,1,FALSE,Traffic,18208,0,Williams
160,ball,00:17.0,1,FALSE,Traffic,18210,0,Bass
161,ball,00:15.8,1,FALSE,Traffic,18242,0,Prigioni
162,ball,00:13.4,1,TRUE,,18302,0,Williams
163,ball,00:13.2,1,FALSE,Traffic,18306,0,Prigioni
164,ball,00:11.8,1,FALSE,Traffic - Missed 2 inbounds and 1 other pass,18342,0,Aldrich
165,ball,11:38.2,2,TRUE,Missing first play of quarter,19172,0,Russell
166,ball,11:36.8,2,FALSE,Shot,19206,0,Young
