description,result,quarter,x_loc,y_loc,ball_handler
Kobe Bryant  misses 14-foot turnaround fadeaway shot,missed,1,19.77777777777777,33,Bryant
Larry Nance Jr.  misses jumper,missed,1,6.444444444444443,39,Nance Jr.
Roy Hibbert makes 16-foot jumper (Jordan Clarkson assists),made,1,19.77777777777777,14,Hibbert
Roy Hibbert makes two point shot (Louis Williams assists),made,1,6.444444444444443,25,Hibbert
Roy Hibbert makes two point shot (Kobe Bryant assists),made,1,6.444444444444443,21.999999999999996,Hibbert
Roy Hibbert makes 18-foot jumper (Jordan Clarkson assists),made,1,25.33333333333333,20,Hibbert
Kobe Bryant  misses 13-foot jumper,missed,1,10.888888888888886,37,Bryant
Larry Nance Jr.  misses layup,missed,1,7.555555555555557,25,Nance Jr.
Louis Williams makes 26-foot  three point jumper,made,1,32,36,Williams
D'Angelo Russell  misses 16-foot two point jumper,missed,1,24.22222222222223,26,Russell
Julius Randle  misses 18-foot jumper,missed,1,20.888888888888886,13,Randle
Kobe Bryant  misses 24-foot three point jumper,missed,1,16.444444444444443,2,Bryant
Roy Hibbert  misses 10-foot hook shot,missed,1,16.444444444444443,30,Hibbert
D'Angelo Russell makes 16-foot two point shot,made,1,23.111111111111114,31,Russell
D'Angelo Russell makes 14-foot two point shot,made,1,22,26,Russell
D'Angelo Russell makes 26-foot  three point jumper  (Louis Williams assists),made,1,29.77777777777777,40,Russell
Nick Young  misses 20-foot jumper,missed,2,19.77777777777777,8,Young
D'Angelo Russell makes 25-foot  three point jumper  (Julius Randle assists),made,2,23.111111111111114,46,Russell
Nick Young  misses 23-foot three point jumper,missed,2,7.555555555555557,2,Young
D'Angelo Russell makes 20-foot two point shot,made,2,24.22222222222223,37,Russell
Julius Randle  misses 9-foot step back jumpshot,missed,2,16.444444444444443,21.999999999999996,Randle
Jordan Clarkson  misses 29-foot three point jumper,missed,2,32,42,Clarkson
Julius Randle  misses 24-foot three point jumper,missed,2,14.222222222222229,2,Randle
Kobe Bryant makes 17-foot two point shot,made,2,22,15,Bryant
Roy Hibbert  misses 9-foot two point shot,missed,2,16.444444444444443,27,Hibbert
Jordan Clarkson  misses 25-foot three point jumper,missed,2,27.555555555555557,41,Clarkson
Kobe Bryant makes 25-foot  three point jumper,made,2,22,5,Bryant
Kobe Bryant makes 26-foot  three point jumper  (Larry Nance Jr. assists),made,2,34.22222222222223,28,Bryant
Kobe Bryant  misses 26-foot three point jumper,missed,2,32,38,Bryant
Jordan Clarkson makes 19-foot jumper,made,2,23.111111111111114,14,Clarkson
Louis Williams  misses three point jumper,missed,2,4.2222222222222285,49,Williams
Roy Hibbert  misses 11-foot jumper,missed,2,18.666666666666657,23,Hibbert
Jordan Clarkson makes 7-foot two point shot,made,2,12,20,Clarkson
Kobe Bryant  misses,missed,2,6.444444444444443,16,Bryant
Roy Hibbert  misses jumper,missed,2,25.33333333333333,25,Hibbert
Jordan Clarkson  misses 25-foot three point jumper,missed,2,32,36,Clarkson
Kobe Bryant makes 26-foot  three point jumper  (Larry Nance Jr. assists),made,3,70.22222222222223,9,Bryant
Louis Williams  misses two point shot,missed,3,82.44444444444444,25,Williams
Roy Hibbert  misses 18-foot jumper,missed,3,74.66666666666667,28.000000000000004,Hibbert
Louis Williams  misses driving layup,missed,3,93.55555555555556,23,Williams
Kobe Bryant  misses 18-foot jumper,missed,3,74.66666666666667,20,Bryant
Jordan Clarkson  misses layup,missed,3,94.66666666666667,26,Clarkson
Jordan Clarkson makes 2-foot two point shot,made,3,91.33333333333333,27,Clarkson
Louis Williams  misses 25-foot three point jumper,missed,3,89.11111111111111,48,Williams
Larry Nance Jr. makes jumper (Kobe Bryant assists),made,3,93.55555555555556,43,Nance Jr.
Larry Nance Jr. makes 18-foot jumper (Jordan Clarkson assists),made,3,74.66666666666667,20,Nance Jr.
Jordan Clarkson makes 20-foot two point shot (Kobe Bryant assists),made,3,78,11,Clarkson
Larry Nance Jr. makes 20-foot jumper (Roy Hibbert assists),made,3,78,11,Nance Jr.
Roy Hibbert  misses 18-foot jumper,missed,3,92.44444444444444,43,Hibbert
D'Angelo Russell  misses 25-foot three point jumper,missed,3,65.77777777777777,27,Russell
Julius Randle  misses 20-foot jumper,missed,3,76.88888888888889,11,Randle
Nick Young  misses 25-foot three point jumper,missed,3,74.66666666666667,44,Young
DeAndre Jordan blocks Jordan Clarkson 's 19-foot  jumper,missed,3,74.66666666666667,33,Jordan
Nick Young  misses 25-foot three point jumper,missed,3,78,45,Young
Blake Griffin blocks D'Angelo Russell's  jumper,missed,3,93.55555555555556,20,Griffin
